comparison,source,latent_dim,reference_dim,seed,new_context,old_reference_dim,old_context,new_valid,old_valid,new_total,old_total,delta_position_mse,delta_response_mae,delta_response_r2
combine,depablo_low_temp,2,8,786,0,96,16,20,20,20,20,1.395886262116619e-05,0.16698513051468608,-0.6409086144729732
remove_context_same_ae,depablo_mixed_temp,2,8,786,0,8,16,20,20,20,20,1.4031021669325129e-05,0.15904978370403922,-0.7534025304278711
combine,depablo_mixed_temp,2,8,786,0,96,16,20,20,20,20,1.7586978742656356e-05,0.21472071581809668,-0.88545996416134
remove_context_same_ae,reid,2,8,786,0,8,16,20,20,20,20,1.3856318719263076e-05,0.18031105143266693,-2.7621102439620797
combine,reid,2,8,786,0,96,16,20,20,20,20,1.687715882781049e-05,0.22960177758568687,-3.0075932141827497
reduce_reference,depablo_low_temp,2,8,786,16,96,16,20,20,20,20,3.68991379673389e-06,0.051344294129468726,-0.12063444362095721
reduce_reference,depablo_mixed_temp,2,8,786,16,96,16,20,20,20,20,3.555957073331227e-06,0.055670932114057464,-0.1320574337334689
reduce_reference,reid,2,8,786,16,96,16,20,20,20,20,3.020840108547414e-06,0.04929072615301993,-0.24548297022067045
remove_context_same_ae,depablo_low_temp,2,8,2026,0,8,16,20,20,20,20,1.5731055532342e-05,0.19850955215989785,-0.7512989280203513
combine,depablo_low_temp,2,8,2026,0,96,16,20,20,20,20,1.5095526669028915e-05,0.21613032792448594,-0.776358999175805
remove_context_same_ae,depablo_mixed_temp,2,8,2026,0,8,16,20,20,20,20,2.3901481256416446e-05,0.25188642957957713,-0.996632782394875
combine,depablo_mixed_temp,2,8,2026,0,96,16,20,20,20,20,2.3441372718480125e-05,0.26043656483976985,-1.0095447858014546
remove_context_same_ae,reid,2,8,2026,0,8,16,20,20,20,20,1.170887612715887e-05,0.1945545917528089,-1.8218503600761466
combine,reid,2,8,2026,0,96,16,20,20,20,20,9.044295256899201e-06,0.1956604509461553,-1.8131470904017657
reduce_reference,depablo_low_temp,2,8,2026,16,96,16,20,20,20,20,-6.35528863313084e-07,0.017620775764588092,-0.025060071155453723
reduce_reference,depablo_mixed_temp,2,8,2026,16,96,16,20,20,20,20,-4.6010853793632123e-07,0.008550135260192673,-0.012912003406579498
reduce_reference,reid,2,8,2026,16,96,16,20,20,20,20,-2.6645808702596683e-06,0.001105859193346409,0.008703269674380842
remove_context_same_ae,depablo_low_temp,4,8,3456456,0,8,16,20,20,20,20,1.3429917100893362e-05,0.18023280941311834,-0.6107693587324023
combine,depablo_low_temp,4,8,3456456,0,96,16,20,20,20,20,1.221287553789807e-05,0.18169831240538623,-0.615477139083402
remove_context_same_ae,depablo_mixed_temp,4,8,3456456,0,8,16,20,20,20,20,1.8236676658034413e-05,0.2349888839549354,-0.8645077440706715
combine,depablo_mixed_temp,4,8,3456456,0,96,16,20,20,20,20,1.8028384170065698e-05,0.23028389198366045,-0.8515749778034156
remove_context_same_ae,reid,4,8,3456456,0,8,16,20,20,20,20,1.0841350172086098e-05,0.18263128261429495,-2.083897949756518
combine,reid,4,8,3456456,0,96,16,20,20,20,20,1.2471522632040431e-05,0.1829813741869597,-2.0798611960499116
